lambda (nm),counts
313.978,-277.17
314.348,-203.17
314.719,-234.17
0.315,-205.17
315.461,-131.17
315.831,-103.17
316.202,-300.17
316.572,-288.17
316.943,-245.17
317.313,-31.17
317.684,-301.17
318.054,-320.17
318.425,-284.17
318.795,-238.17
319.165,-167.17
319.536,-97.17
319.906,-232.17
320.276,-274.17
320.646,-254.17
321.016,-259.17
321.387,-219.17
321.757,-172.17
322.127,-257.17
322.497,-254.17
322.867,-140.17
323.237,-312.17
323.607,-186.17
323.977,-171.17
324.346,-312.17
324.716,-256.17
325.086,-331.17
325.456,-165.17
325.826,-319.17
326.195,-156.17
326.565,-84.17
326.935,-200.17
327.304,-244.17
327.674,-256.17
328.043,-162.17
328.413,-247.17
328.782,-56.17
329.152,-172.17
329.521,-263.17
329.891,-359.17
0.330,-163.17
330.629,-329.17
330.999,-209.17
331.368,-278.17
331.737,-195.17
332.106,-233.17
332.475,-171.17
332.845,-106.17
333.214,-209.17
333.583,-301.17
333.952,-35.17
334.321,-281.17
0.335,-251.17
335.059,-111.17
335.427,-221.17
335.796,-288.17
336.165,-380.17
336.534,-285.17
336.903,-328.17
337.271,-253.17
0.338,-134.17
338.009,-181.17
338.377,-160.17
338.746,-239.17
339.114,275.83
339.483,-78.17
339.852,-174.17
0.340,-240.17
340.588,-103.17
340.957,-235.17
341.325,-347.17
341.693,-128.17
342.062,-273.17
0.342,-274.17
342.798,-203.17
343.166,-182.17
343.535,-304.17
343.903,-183.17
344.271,-239.17
344.639,424.83
345.007,-182.17
345.375,-170.17
345.743,-218.17
346.111,-323.17
346.479,-209.17
346.847,-263.17
347.214,-305.17
347.582,-234.17
0.348,-261.17
348.318,-164.17
348.685,-217.17
349.053,-161.17
349.421,-232.17
349.788,-168.17
350.156,-218.17
350.523,-247.17
350.891,-318.17
351.258,-269.17
351.626,-246.17
351.993,-287.17
0.352,-289.17
352.728,-263.17
353.095,-198.17
353.462,-243.17
0.354,-345.17
354.197,-212.17
354.564,-94.17
354.931,-265.17
355.298,-118.17
355.665,354.83
356.032,-342.17
356.399,-83.17
356.766,-283.17
357.133,-296.17
0.358,-295.17
357.867,100.83
358.234,-119.17
0.359,-242.17
358.967,-215.17
