lambda (nm),counts
179.631,-92.33
180.012,209.67
180.394,-51.33
180.775,-287.33
181.157,428.67
181.538,-57.33
0.182,649.67
182.301,-184.33
182.683,-91.33
183.064,-150.33
183.446,-294.33
183.827,-79.33
184.208,-410.33
0.185,-448.33
184.971,-493.33
185.352,-248.33
185.733,-322.33
186.115,-379.33
186.496,-288.33
186.877,-160.33
187.258,-254.33
187.639,9.67
0.188,-341.33
188.401,-164.33
188.782,63.67
189.163,-255.33
189.544,-463.33
189.925,-255.33
190.306,-298.33
190.686,-35.33
191.067,-121.33
191.448,-289.33
191.829,-404.33
0.192,-349.33
0.193,703.67
192.971,-298.33
193.351,-181.33
193.732,-235.33
194.113,-139.33
194.493,-246.33
194.874,-296.33
195.254,308.67
195.635,-263.33
196.015,-282.33
196.396,-121.33
196.776,-448.33
197.156,-356.33
197.537,-407.33
197.917,-149.33
198.297,-360.33
198.677,-403.33
199.057,-328.33
199.438,-265.33
199.818,-439.33
200.198,-378.33
200.578,9.67
200.958,-310.33
201.338,-359.33
201.718,-382.33
202.098,-187.33
202.478,64.67
202.858,-395.33
203.238,-439.33
203.618,-374.33
203.997,-374.33
204.377,-96.33
204.757,-173.33
205.137,-269.33
205.516,54.67
205.896,-405.33
206.276,-294.33
206.655,-281.33
207.035,-461.33
207.414,-176.33
207.794,-122.33
208.173,-287.33
208.553,-392.33
208.932,-453.33
209.312,-356.33
209.691,-302.33
0.210,-240.33
0.210,610.67
210.829,-518.33
211.208,-253.33
211.588,-333.33
211.967,-524.33
212.346,-245.33
212.725,-218.33
213.104,-246.33
213.483,-551.33
213.862,-307.33
214.241,-537.33
0.215,143.67
214.999,-414.33
215.378,10.67
215.757,-58.33
216.136,-319.33
216.515,-263.33
216.894,-375.33
217.272,-372.33
217.651,21.67
0.218,-340.33
218.409,-409.33
218.787,-13.33
219.166,-548.33
219.545,-393.33
219.923,-199.33
220.302,-430.33
0.221,-288.33
221.059,-497.33
221.437,-416.33
221.816,-375.33
222.194,-248.33
222.572,-302.33
222.951,-333.33
223.329,-161.33
223.707,-335.33
224.085,-299.33
224.464,-286.33
224.842,-125.33
0.225,-311.33
225.598,-467.33
225.976,-444.33
226.354,-459.33
226.732,-413.33
0.227,-299.33
227.488,-318.33
227.866,-594.33
228.244,-247.33
