lambda (nm),counts
179.631,-65.58
180.012,218.42
180.394,-70.58
180.775,-270.58
181.157,429.42
181.538,-63.58
0.182,563.42
182.301,-197.58
182.683,-71.58
183.064,-128.58
183.446,-269.58
183.827,-73.58
184.208,-333.58
0.185,-453.58
184.971,-469.58
185.352,-217.58
185.733,-304.58
186.115,-310.58
186.496,-266.58
186.877,-77.58
187.258,-172.58
187.639,24.42
0.188,-246.58
188.401,-187.58
188.782,16.42
189.163,-240.58
189.544,-398.58
189.925,-267.58
190.306,-234.58
190.686,-74.58
191.067,-85.58
191.448,-279.58
191.829,-328.58
0.192,-270.58
0.193,654.42
192.971,-328.58
193.351,-189.58
193.732,-155.58
194.113,-110.58
194.493,-225.58
194.874,-288.58
195.254,353.42
195.635,-263.58
196.015,-262.58
196.396,-129.58
196.776,-381.58
197.156,-341.58
197.537,-371.58
197.917,-100.58
198.297,-284.58
198.677,-419.58
199.057,-253.58
199.438,-215.58
199.818,-290.58
200.198,-345.58
200.578,6.42
200.958,-280.58
201.338,-382.58
201.718,-370.58
202.098,-152.58
202.478,114.42
202.858,-329.58
203.238,-432.58
203.618,-356.58
203.997,-353.58
204.377,-89.58
204.757,-199.58
205.137,-261.58
205.516,49.42
205.896,-327.58
206.276,-325.58
206.655,-334.58
207.035,-462.58
207.414,-159.58
207.794,-100.58
208.173,-271.58
208.553,-336.58
208.932,-378.58
209.312,-288.58
209.691,-240.58
0.210,-268.58
0.210,514.42
210.829,-440.58
211.208,-260.58
211.588,-254.58
211.967,-465.58
212.346,-239.58
212.725,-139.58
213.104,-245.58
213.483,-487.58
213.862,-254.58
214.241,-493.58
0.215,142.42
214.999,-403.58
215.378,54.42
215.757,-90.58
216.136,-299.58
216.515,-237.58
216.894,-365.58
217.272,-325.58
217.651,-33.58
0.218,-326.58
218.409,-330.58
218.787,55.42
219.166,-506.58
219.545,-371.58
219.923,-219.58
220.302,-336.58
0.221,-218.58
221.059,-431.58
221.437,-341.58
221.816,-306.58
222.194,-194.58
222.572,-320.58
222.951,-279.58
223.329,-191.58
223.707,-271.58
224.085,-227.58
224.464,-307.58
224.842,-136.58
0.225,-302.58
225.598,-426.58
225.976,-395.58
226.354,-380.58
226.732,-364.58
0.227,-278.58
227.488,-279.58
227.866,-530.58
228.244,-229.58
228.622,-310.58
0.229,-182.58
229.378,-180.58
229.756,-375.58
230.133,-399.58
230.511,-468.58
230.889,-401.58
231.267,-430.58
231.644,-281.58
232.022,-372.58
232.399,-108.58
232.777,-84.58
233.154,-323.58
233.532,-294.58
233.909,-305.58
234.287,-53.58
234.664,-103.58
235.042,-439.58
235.419,-459.58
235.796,-150.58
236.174,-387.58
236.551,-241.58
236.928,-540.58
237.305,-337.58
237.682,-362.58
0.238,-315.58
238.437,-260.58
238.814,-25.58
239.191,-261.58
239.568,-281.58
239.945,-273.58
240.322,-252.58
240.699,-272.58
241.076,-387.58
241.452,-387.58
241.829,-334.58
242.206,-202.58
242.583,-47.58
0.243,-313.58
243.336,-117.58
243.713,284.42
0.244,-129.58
244.466,-339.58
244.843,-230.58
245.219,-283.58
245.596,-237.58
245.972,-303.58
246.349,-409.58
246.725,-434.58
247.102,-371.58
247.478,-412.58
247.855,-173.58
248.231,-360.58
248.607,-589.58
248.983,-335.58
0.249,818.42
249.736,-421.58
250.112,-461.58
250.488,-245.58
250.864,-282.58
0.251,-436.58
251.616,-316.58
251.992,-427.58
252.368,-410.58
252.744,-372.58
0.253,538.42
253.496,-322.58
253.872,455.42
254.248,-259.58
254.624,-344.58
254.999,-320.58
255.375,-192.58
255.751,-404.58
256.126,-372.58
256.502,-414.58
256.878,-369.58
257.253,-351.58
257.629,-433.58
258.004,-316.58
0.258,-291.58
258.755,-308.58
259.131,-410.58
259.506,-277.58
259.882,32.42
260.257,-382.58
260.632,-372.58
261.007,-391.58
261.383,-289.58
261.758,-357.58
262.133,-203.58
262.508,-497.58
262.883,-131.58
263.258,-173.58
263.633,-340.58
264.008,-334.58
264.383,-355.58
264.758,-99.58
265.133,-88.58
265.508,-306.58
265.883,-215.58
266.258,-352.58
266.633,-520.58
267.008,-288.58
267.382,-446.58
267.757,-348.58
268.132,-476.58
268.506,-273.58
268.881,-275.58
269.256,-379.58
0.270,-431.58
270.005,-413.58
270.379,-286.58
270.754,-178.58
271.128,-405.58
271.502,-440.58
271.877,-395.58
272.251,-436.58
272.626,-388.58
0.273,-291.58
273.374,-467.58
273.748,-335.58
274.122,-265.58
274.497,-492.58
274.871,-86.58
275.245,-396.58
275.619,-494.58
275.993,-221.58
276.367,-413.58
276.741,-246.58
277.115,-232.58
277.489,-390.58
277.863,-381.58
278.236,-391.58
0.279,-188.58
278.984,524.42
279.358,-380.58
279.732,-265.58
280.105,-439.58
280.479,-365.58
280.852,-358.58
281.226,-297.58
0.282,-273.58
281.973,-322.58
282.347,-356.58
0.283,-180.58
283.094,-319.58
283.467,-283.58
0.284,-350.58
284.214,-166.58
284.587,-375.58
0.285,-211.58
285.333,-327.58
285.707,-422.58
0.286,-216.58
286.453,-209.58
286.826,559.42
287.199,-253.58
287.572,-227.58
287.945,-311.58
288.318,-327.58
288.691,-99.58
289.064,-271.58
289.437,-469.58
0.290,-261.58
290.183,-274.58
290.556,-149.58
290.928,-369.58
291.301,-477.58
291.674,-484.58
292.046,-273.58
292.419,-68.58
292.792,-466.58
293.164,-307.58
293.537,-377.58
293.909,-433.58
294.282,-329.58
294.654,-212.58
295.027,-411.58
295.399,-442.58
295.771,-358.58
296.144,-265.58
296.516,-112.58
296.888,-130.58
297.261,340.42
297.633,-264.58
298.005,-297.58
298.377,246.42
298.749,-501.58
299.121,-337.58
299.493,-566.58
299.865,-469.58
300.237,-491.58
300.609,-266.58
300.981,-125.58
301.353,-251.58
301.725,-367.58
302.097,-196.58
302.468,-350.58
0.303,-294.58
303.212,-186.58
303.584,-389.58
303.955,-279.58
304.327,-304.58
304.698,-392.58
0.305,-326.58
305.442,-399.58
305.813,-191.58
306.184,-73.58
306.556,506.42
306.927,-417.58
307.299,-319.58
0.308,-367.58
308.041,-285.58
308.413,-270.58
308.784,-312.58
309.155,-311.58
309.526,-272.58
309.897,-401.58
310.268,-134.58
0.311,-360.58
311.011,-438.58
311.382,-165.58
311.753,-349.58
312.123,-280.58
312.494,-220.58
312.865,-476.58
313.236,-437.58
313.607,-365.58
313.978,-421.58
314.348,-283.58
314.719,-276.58
0.315,-346.58
315.461,-137.58
315.831,-195.58
316.202,-436.58
316.572,-383.58
316.943,-382.58
317.313,-82.58
317.684,-481.58
318.054,-543.58
318.425,-351.58
318.795,-368.58
319.165,-325.58
319.536,-120.58
319.906,-317.58
320.276,-360.58
320.646,-414.58
321.016,-313.58
321.387,-321.58
321.757,-265.58
322.127,-377.58
322.497,-404.58
322.867,-206.58
323.237,-500.58
323.607,-321.58
323.977,-217.58
324.346,-477.58
324.716,-412.58
325.086,-495.58
325.456,-319.58
325.826,-373.58
326.195,-203.58
326.565,-139.58
326.935,-241.58
327.304,-358.58
327.674,-342.58
328.043,-267.58
328.413,-343.58
328.782,-123.58
329.152,-231.58
329.521,-389.58
329.891,-482.58
0.330,-278.58
330.629,-424.58
330.999,-321.58
331.368,-372.58
331.737,-261.58
332.106,-333.58
332.475,-235.58
332.845,-171.58
333.214,-308.58
333.583,-426.58
333.952,-105.58
334.321,-429.58
0.335,-335.58
335.059,-161.58
335.427,-293.58
335.796,-425.58
336.165,-556.58
336.534,-449.58
336.903,-422.58
337.271,-340.58
0.338,-187.58
338.009,-291.58
338.377,-208.58
338.746,-337.58
339.114,376.42
339.483,-111.58
339.852,-249.58
0.340,-371.58
340.588,-158.58
340.957,-284.58
341.325,-453.58
341.693,-165.58
342.062,-373.58
0.342,-401.58
342.798,-327.58
343.166,-179.58
343.535,-384.58
343.903,-342.58
344.271,-342.58
344.639,545.42
345.007,-186.58
345.375,-286.58
345.743,-367.58
346.111,-465.58
346.479,-278.58
346.847,-363.58
347.214,-359.58
347.582,-341.58
0.348,-344.58
348.318,-198.58
348.685,-280.58
349.053,-207.58
349.421,-306.58
349.788,-254.58
350.156,-300.58
350.523,-389.58
350.891,-399.58
351.258,-470.58
351.626,-356.58
351.993,-333.58
0.352,-446.58
352.728,-367.58
353.095,-304.58
353.462,-404.58
0.354,-418.58
354.197,-267.58
354.564,-202.58
354.931,-354.58
355.298,-163.58
355.665,521.42
356.032,-508.58
356.399,-114.58
356.766,-332.58
357.133,-438.58
0.358,-403.58
357.867,184.42
358.234,-272.58
0.359,-283.58
358.967,-369.58
359.334,-324.58
359.701,-241.58
360.067,-355.58
360.434,-263.58
360.801,-220.58
361.167,-277.58
361.534,-519.58
0.362,-337.58
362.267,-429.58
362.633,-313.58
362.999,-493.58
363.366,-336.58
363.732,-252.58
364.098,-343.58
364.465,-298.58
364.831,-352.58
365.197,-268.58
365.563,-110.58
365.929,-244.58
366.295,-298.58
366.661,-382.58
367.027,-211.58
367.393,-386.58
367.759,-391.58
368.125,235.42
368.491,-198.58
368.857,-426.58
369.223,-195.58
369.589,-250.58
369.954,-282.58
0.370,-15.58
370.686,-429.58
371.051,-309.58
371.417,-405.58
371.782,-368.58
372.148,-339.58
372.513,-338.58
372.879,-331.58
373.244,-312.58
0.374,-202.58
373.975,-454.58
374.341,-358.58
374.706,-254.58
