lambda (nm),counts
179.631,-74.17
180.012,207.83
180.394,-79.17
180.775,-275.17
181.157,435.83
181.538,-134.17
0.182,598.83
182.301,-144.17
182.683,-130.17
183.064,-60.17
183.446,-318.17
183.827,-27.17
184.208,-355.17
0.185,-438.17
184.971,-470.17
185.352,-201.17
185.733,-316.17
186.115,-301.17
186.496,-259.17
186.877,-120.17
187.258,-155.17
187.639,-83.17
0.188,-173.17
188.401,-157.17
188.782,49.83
189.163,-323.17
189.544,-361.17
189.925,-283.17
190.306,-224.17
190.686,-54.17
191.067,-80.17
191.448,-250.17
191.829,-388.17
0.192,-276.17
0.193,724.83
192.971,-277.17
193.351,-156.17
193.732,-237.17
194.113,-142.17
194.493,-262.17
194.874,-274.17
195.254,445.83
195.635,-274.17
196.015,-234.17
196.396,-145.17
196.776,-417.17
197.156,-341.17
197.537,-387.17
197.917,-131.17
198.297,-368.17
198.677,-367.17
199.057,-281.17
199.438,-308.17
199.818,-408.17
200.198,-333.17
200.578,-12.17
200.958,-265.17
201.338,-356.17
201.718,-307.17
202.098,-143.17
202.478,181.83
202.858,-339.17
203.238,-412.17
203.618,-360.17
203.997,-362.17
204.377,-91.17
204.757,-189.17
205.137,-230.17
205.516,39.83
205.896,-358.17
206.276,-345.17
206.655,-305.17
207.035,-509.17
207.414,-171.17
207.794,1.83
208.173,-322.17
208.553,-350.17
208.932,-385.17
209.312,-342.17
209.691,-261.17
0.210,-255.17
0.210,633.83
210.829,-481.17
211.208,-246.17
211.588,-315.17
211.967,-505.17
212.346,-234.17
212.725,-194.17
213.104,-287.17
213.483,-496.17
213.862,-291.17
214.241,-491.17
0.215,138.83
214.999,-419.17
215.378,95.83
215.757,-38.17
216.136,-339.17
216.515,-224.17
216.894,-420.17
217.272,-333.17
217.651,27.83
0.218,-354.17
218.409,-366.17
218.787,59.83
219.166,-521.17
219.545,-366.17
219.923,-205.17
220.302,-329.17
0.221,-286.17
221.059,-405.17
221.437,-300.17
221.816,-335.17
222.194,-246.17
222.572,-335.17
222.951,-349.17
223.329,-123.17
223.707,-290.17
224.085,-271.17
224.464,-289.17
224.842,-122.17
0.225,-313.17
225.598,-431.17
225.976,-436.17
226.354,-384.17
226.732,-338.17
0.227,-219.17
227.488,-286.17
227.866,-561.17
228.244,-248.17
228.622,-391.17
0.229,-222.17
229.378,-190.17
229.756,-427.17
230.133,-423.17
230.511,-553.17
230.889,-423.17
231.267,-429.17
231.644,-269.17
232.022,-385.17
232.399,-148.17
232.777,-61.17
233.154,-389.17
233.532,-307.17
233.909,-300.17
234.287,-88.17
234.664,-124.17
235.042,-497.17
235.419,-495.17
235.796,-160.17
236.174,-369.17
236.551,-290.17
236.928,-552.17
237.305,-366.17
237.682,-369.17
0.238,-298.17
238.437,-295.17
238.814,-46.17
239.191,-333.17
239.568,-312.17
239.945,-303.17
240.322,-312.17
240.699,-352.17
241.076,-384.17
