lambda (nm),counts
179.631,-44.25
180.012,148.75
180.394,-30.25
180.775,-267.25
181.157,481.75
181.538,-64.25
0.182,644.75
182.301,-193.25
182.683,-101.25
183.064,-146.25
183.446,-335.25
183.827,-93.25
184.208,-347.25
0.185,-434.25
184.971,-533.25
185.352,-178.25
185.733,-373.25
186.115,-365.25
186.496,-291.25
186.877,-192.25
187.258,-241.25
187.639,-77.25
0.188,-323.25
188.401,-197.25
188.782,59.75
189.163,-329.25
189.544,-431.25
189.925,-299.25
190.306,-240.25
190.686,-86.25
191.067,-153.25
191.448,-275.25
191.829,-438.25
0.192,-331.25
0.193,733.75
192.971,-327.25
193.351,-187.25
193.732,-302.25
194.113,-137.25
194.493,-297.25
194.874,-289.25
195.254,430.75
195.635,-340.25
196.015,-291.25
196.396,-54.25
196.776,-481.25
197.156,-328.25
197.537,-427.25
197.917,-128.25
198.297,-401.25
198.677,-405.25
199.057,-362.25
199.438,-345.25
199.818,-377.25
200.198,-371.25
200.578,1.75
200.958,-336.25
201.338,-399.25
201.718,-372.25
202.098,-179.25
202.478,120.75
202.858,-381.25
203.238,-462.25
203.618,-442.25
203.997,-457.25
204.377,-119.25
204.757,-194.25
205.137,-304.25
205.516,27.75
205.896,-406.25
206.276,-335.25
206.655,-336.25
207.035,-508.25
207.414,-150.25
207.794,-65.25
208.173,-293.25
208.553,-418.25
208.932,-391.25
209.312,-399.25
209.691,-322.25
0.210,-83.25
0.210,647.75
210.829,-535.25
211.208,-253.25
211.588,-374.25
211.967,-508.25
212.346,-296.25
212.725,-164.25
213.104,-321.25
213.483,-561.25
213.862,-270.25
214.241,-466.25
0.215,210.75
214.999,-424.25
215.378,2.75
215.757,-26.25
216.136,-400.25
216.515,-300.25
216.894,-441.25
217.272,-424.25
217.651,-12.25
0.218,-367.25
218.409,-430.25
218.787,9.75
219.166,-579.25
219.545,-420.25
219.923,-203.25
220.302,-458.25
0.221,-324.25
221.059,-494.25
221.437,-351.25
221.816,-335.25
222.194,-326.25
222.572,-315.25
222.951,-423.25
223.329,-164.25
223.707,-344.25
224.085,-318.25
224.464,-310.25
224.842,-149.25
0.225,-341.25
225.598,-458.25
225.976,-447.25
226.354,-418.25
226.732,-393.25
0.227,-320.25
227.488,-335.25
227.866,-640.25
228.244,-251.25
228.622,-359.25
0.229,-230.25
229.378,-289.25
229.756,-461.25
230.133,-463.25
230.511,-576.25
230.889,-494.25
231.267,-411.25
231.644,-352.25
232.022,-462.25
232.399,-156.25
232.777,-48.25
233.154,-427.25
233.532,-415.25
233.909,-331.25
234.287,-57.25
234.664,-128.25
235.042,-536.25
235.419,-548.25
235.796,-222.25
236.174,-359.25
236.551,-291.25
236.928,-636.25
237.305,-409.25
237.682,-413.25
0.238,-356.25
238.437,-265.25
238.814,-45.25
239.191,-335.25
239.568,-290.25
239.945,-367.25
240.322,-306.25
240.699,-326.25
241.076,-428.25
241.452,-461.25
241.829,-461.25
242.206,-245.25
242.583,4.75
0.243,-431.25
243.336,-95.25
243.713,352.75
0.244,-110.25
244.466,-376.25
244.843,-245.25
245.219,-313.25
245.596,-304.25
245.972,-334.25
246.349,-459.25
246.725,-479.25
247.102,-418.25
247.478,-455.25
247.855,-238.25
248.231,-421.25
248.607,-648.25
248.983,-271.25
0.249,1007.75
249.736,-431.25
250.112,-468.25
250.488,-353.25
250.864,-339.25
0.251,-546.25
251.616,-340.25
251.992,-492.25
