lambda (nm),counts
179.631,-32.25
180.012,207.75
180.394,-88.25
180.775,-264.25
181.157,467.75
181.538,-110.25
0.182,590.75
182.301,-192.25
182.683,-118.25
183.064,-61.25
183.446,-344.25
183.827,-55.25
184.208,-443.25
0.185,-401.25
184.971,-517.25
185.352,-289.25
185.733,-307.25
186.115,-385.25
186.496,-257.25
186.877,-139.25
187.258,-192.25
187.639,-43.25
0.188,-228.25
188.401,-217.25
188.782,89.75
189.163,-337.25
189.544,-439.25
189.925,-297.25
190.306,-228.25
190.686,-69.25
191.067,-95.25
191.448,-262.25
191.829,-391.25
0.192,-337.25
0.193,795.75
192.971,-349.25
193.351,-185.25
193.732,-227.25
194.113,-181.25
194.493,-203.25
194.874,-323.25
195.254,344.75
195.635,-312.25
196.015,-258.25
196.396,-171.25
196.776,-428.25
197.156,-347.25
197.537,-369.25
197.917,-136.25
198.297,-383.25
198.677,-348.25
199.057,-318.25
199.438,-235.25
199.818,-432.25
200.198,-460.25
200.578,-2.25
200.958,-296.25
201.338,-435.25
201.718,-289.25
202.098,-197.25
202.478,94.75
202.858,-384.25
203.238,-420.25
203.618,-361.25
203.997,-398.25
204.377,-87.25
204.757,-193.25
205.137,-210.25
205.516,75.75
205.896,-420.25
206.276,-299.25
206.655,-360.25
207.035,-499.25
207.414,-195.25
207.794,-112.25
208.173,-273.25
208.553,-369.25
208.932,-393.25
209.312,-326.25
209.691,-299.25
0.210,-159.25
0.210,664.75
210.829,-533.25
211.208,-257.25
211.588,-342.25
211.967,-485.25
212.346,-308.25
212.725,-210.25
213.104,-295.25
213.483,-541.25
213.862,-279.25
214.241,-481.25
0.215,187.75
214.999,-415.25
215.378,30.75
215.757,-69.25
216.136,-329.25
216.515,-305.25
216.894,-362.25
217.272,-405.25
217.651,-4.25
0.218,-338.25
218.409,-398.25
218.787,25.75
219.166,-561.25
219.545,-430.25
219.923,-227.25
220.302,-381.25
0.221,-296.25
221.059,-483.25
221.437,-358.25
221.816,-344.25
222.194,-286.25
222.572,-343.25
222.951,-360.25
223.329,-222.25
223.707,-271.25
224.085,-283.25
224.464,-281.25
224.842,-153.25
0.225,-354.25
225.598,-447.25
225.976,-441.25
226.354,-429.25
226.732,-365.25
0.227,-280.25
227.488,-282.25
227.866,-638.25
228.244,-192.25
228.622,-374.25
0.229,-238.25
229.378,-179.25
229.756,-494.25
230.133,-440.25
230.511,-582.25
230.889,-474.25
231.267,-437.25
231.644,-303.25
232.022,-405.25
232.399,-148.25
232.777,4.75
233.154,-375.25
233.532,-369.25
233.909,-336.25
234.287,-78.25
234.664,-140.25
235.042,-481.25
235.419,-520.25
235.796,-250.25
236.174,-332.25
236.551,-270.25
236.928,-575.25
237.305,-398.25
237.682,-379.25
0.238,-313.25
238.437,-287.25
238.814,-17.25
239.191,-286.25
239.568,-284.25
239.945,-302.25
240.322,-340.25
240.699,-330.25
241.076,-466.25
241.452,-388.25
241.829,-435.25
242.206,-233.25
242.583,53.75
0.243,-377.25
243.336,-74.25
243.713,327.75
0.244,-145.25
244.466,-379.25
244.843,-228.25
245.219,-326.25
245.596,-281.25
245.972,-306.25
246.349,-424.25
246.725,-478.25
247.102,-404.25
247.478,-473.25
247.855,-241.25
248.231,-424.25
248.607,-584.25
248.983,-365.25
0.249,956.75
249.736,-424.25
250.112,-468.25
250.488,-244.25
250.864,-353.25
0.251,-474.25
251.616,-367.25
251.992,-468.25
252.368,-457.25
252.744,-395.25
0.253,663.75
253.496,-344.25
253.872,510.75
254.248,-284.25
254.624,-379.25
254.999,-301.25
255.375,-231.25
255.751,-400.25
256.126,-413.25
256.502,-386.25
256.878,-444.25
257.253,-357.25
257.629,-485.25
258.004,-339.25
0.258,-316.25
258.755,-311.25
259.131,-483.25
259.506,-282.25
259.882,48.75
260.257,-397.25
260.632,-398.25
261.007,-395.25
261.383,-313.25
261.758,-392.25
262.133,-194.25
262.508,-530.25
262.883,-170.25
263.258,-186.25
263.633,-433.25
264.008,-356.25
264.383,-395.25
264.758,-93.25
265.133,-195.25
265.508,-338.25
265.883,-239.25
