lambda (nm),counts,
682.423,-133.83,
682.754,-4.83,
683.085,-386.83,
683.416,-375.83,
683.747,-298.83,
684.078,-112.83,
684.409,-185.83,
0.685,-379.83,
0.685,-144.83,
685.401,-334.83,
685.732,-334.83,
686.063,-84.83,
686.393,-83.83,
686.724,-431.83,
687.054,-211.83,
687.385,-331.83,
687.715,-114.83,
688.046,-240.83,
688.376,50.17,
688.706,-147.83,
689.037,-387.83,
689.367,-205.83,
689.697,-442.83,
690.027,-389.83,
690.357,-121.83,
690.687,-77.83,
691.017,-326.83,
691.347,-228.83,
691.677,-143.83,
692.007,-174.83,
692.337,-191.83,
692.667,-161.83,
692.997,-298.83,
693.326,-354.83,
693.656,-370.83,
693.986,-225.83,
694.315,-100.83,
694.645,-30.83,
694.974,-377.83,
695.304,-269.83,
695.633,-310.83,
695.962,-248.83,
696.292,-160.83,
696.621,-369.83,
0.697,-142.83,
697.279,-202.83,
697.609,-160.83,
697.938,-43.83,
698.267,65.17,
698.596,-407.83,
698.925,-184.83,
699.254,-296.83,
699.583,-238.83,
699.911,-390.83,
0.700,-371.83,
700.569,-174.83,
700.898,-489.83,
701.226,57.17,
701.555,-484.83,
701.883,-444.83,
702.212,-229.83,
0.703,-280.83,
702.869,-260.83,
703.197,-238.83,
703.526,-358.83,
703.854,-147.83,
704.182,-167.83,
0.705,-33.83,
704.839,-449.83,
705.167,-126.83,
705.495,-180.83,
705.823,-224.83,
706.151,59.17,
706.479,-395.83,
706.807,-266.83,
707.135,-350.83,
707.462,40.17,
0.708,1.17,
708.118,-135.83,
708.446,-379.83,
708.773,-260.83,
709.101,127.17,
709.429,-147.83,
709.756,-158.83,
710.084,-362.83,
710.411,-219.83,
710.738,-123.83,
711.066,-215.83,
711.393,-129.83,
0.712,-292.83,
712.047,-157.83,
712.375,206.17,
712.702,-92.83,
713.029,-378.83,
713.356,297.17,
713.683,-185.83,
0.714,-256.83,
714.337,-381.83,
714.663,-302.83,
0.715,-474.83,
715.317,-391.83,
715.644,-328.83,
0.716,-532.83,
716.297,-64.83,
716.624,-115.83,
0.717,-271.83,
717.277,-384.83,
717.603,-193.83,
0.718,-146.83,
718.256,-202.83,
718.582,-183.83,
718.908,-36.83,
719.235,-148.83,
719.561,-379.83,
719.887,-341.83,
720.213,-534.83,
720.539,-159.83,
720.865,-378.83,
721.191,-471.83,
721.517,-258.83,
721.843,-235.83,
722.169,-138.83,
722.495,-306.83,
0.723,7.17,
723.146,-135.83,
723.472,-30.83,
723.797,-349.83,
724.123,-214.83,
724.448,-71.83,
724.774,-334.83,
725.099,482.17,
725.425,14.17,
0.726,-278.83,
726.075,-76.83,
0.726,-244.83,
726.726,-221.83,
727.051,-303.83,
727.376,-190.83,
727.701,-138.83,
728.026,-239.83,
728.351,-313.83,
728.676,-143.83,
729.001,988.17,
729.326,-275.83,
729.651,-211.83,
729.975,-204.83,
0.730,-276.83,
730.625,-354.83,
730.949,-370.83,
731.274,-383.83,
731.598,189.17,
731.923,-298.83,
732.247,-89.83,
732.572,-149.83,
732.896,-63.83,
0.733,-144.83,
733.545,-368.83,
733.869,-43.83,
734.193,-36.83,
734.517,-328.83,
734.841,-150.83,
735.165,47.17,
735.489,-17.83,
735.813,-439.83,
736.137,-333.83,
736.461,-225.83,
736.785,-113.83,
737.108,67.17,
737.432,-220.83,
737.756,-276.83,
0.738,-341.83,
738.403,-352.83,
738.727,-304.83,
0.739,-32.83,
739.374,-559.83,
739.697,-479.83,
0.740,-265.83,
740.344,-194.83,
740.667,28.17,
0.741,-241.83,
741.313,-168.83,
741.636,-402.83,
0.742,-249.83,
742.283,-249.83,
742.606,-595.83,
742.929,-339.83,
743.251,-57.83,
743.574,-139.83,
743.897,-198.83,
0.744,-364.83,
744.543,-321.83,
744.865,-164.83,
745.188,-326.83,
745.511,-577.83,
745.833,8.17,
746.156,-184.83,
746.478,224.17,
0.747,-103.83,
747.123,-241.83,
747.445,562.17,
747.767,-240.83,
0.748,-210.83,
748.412,-241.83,
748.734,-189.83,
749.056,-164.83,
749.378,-71.83,
0.750,-281.83,
750.022,-145.83,
750.344,-187.83,
750.666,-231.83,
750.988,-157.83,
751.309,-228.83,
751.631,-202.83,
751.953,-372.83,
752.274,-346.83,
752.596,374.17,
752.918,-197.83,
753.239,39.17,
0.754,-198.83,
753.882,-191.83,
754.203,-272.83,
754.525,-149.83,
754.846,-303.83,
755.167,-369.83,
755.488,-207.83,
755.809,-250.83,
0.756,-145.83,
756.451,-226.83,
756.772,-173.83,
757.093,-303.83,
757.414,-151.83,
757.735,-342.83,
758.056,-415.83,
758.377,-4.83,
758.697,-280.83,
759.018,-46.83,
759.339,-384.83,
759.659,-192.83,
0.760,-293.83,
0.760,-323.83,
760.621,-243.83,
760.941,-381.83,
761.262,-214.83,
761.582,-396.83,
761.902,-246.83,
762.222,-218.83,
762.543,-349.83,
762.863,-371.83,
763.183,-213.83,
763.503,-82.83,
763.823,-562.83,
764.143,-260.83,
764.463,-271.83,
764.782,-45.83,
765.102,-241.83,
765.422,-148.83,
765.742,-191.83,
766.061,165.17,
766.381,-254.83,
766.701,-346.83,
0.767,-258.83,
0.767,-215.83,
767.659,-283.83,
767.978,-443.83,
768.298,122.17,
768.617,-403.83,
768.936,-167.83,
769.255,-233.83,
769.575,-285.83,
769.894,-250.83,
770.213,-222.83,
770.532,-325.83,
770.851,-224.83,
0.771,-274.83,
771.489,-484.83,
771.807,-157.83,
772.126,-209.83,
772.445,-186.83,
772.764,-106.83,
773.082,-198.83,
773.401,-178.83,
773.719,-60.83,
774.038,-389.83,
774.356,-381.83,
774.675,-364.83,
774.993,-62.83,
775.312,-207.83,
0.776,-44.83,
775.948,-192.83,
776.266,335.17,
776.584,-353.83,
776.902,-426.83,
777.221,-197.83,
777.539,-341.83,
777.856,-187.83,
778.174,-178.83,
778.492,-297.83,
0.779,-202.83,
779.128,34.17,
779.446,-410.83,
779.763,-340.83,
780.081,-362.83,
780.398,-418.83,
780.716,-319.83,
781.033,-283.83,
781.351,-311.83,
781.668,-234.83,
781.986,72.17,
782.303,-248.83,
0.783,-147.83,
782.937,-364.83,
783.255,-357.83,
783.572,-219.83,
783.889,-194.83,
784.206,-229.83,
784.523,-320.83,
0.785,-205.83,
785.157,-452.83,
785.473,-198.83,
0.786,-412.83,
786.107,-365.83,
786.424,-80.83,
0.787,-283.83,
787.057,-375.83,
787.373,-195.83,
0.788,-45.83,
788.006,41.17,
788.323,420.17,
788.639,1266.17,
788.956,-376.83,
789.272,-317.83,
789.588,-206.83,
789.904,-115.83,
0.790,-36.83,
790.536,-94.83,
790.852,328.17,
791.168,-258.83,
791.484,-325.83,
0.792,-174.83,
792.116,-259.83,
792.432,-366.83,
792.748,-123.83,
793.063,-123.83,
793.379,-268.83,
793.695,-125.83,
0.794,-355.83,
794.326,21.17,
794.641,-428.83,
794.957,-140.83,
795.272,-93.83,
795.587,-300.83,
795.903,-234.83,
796.218,-460.83,
796.533,-101.83,
796.848,10.17,
797.163,-198.83,
797.479,-212.83,
797.794,-95.83,
798.108,-191.83,
798.423,-68.83,
798.738,-301.83,
799.053,70.17,
799.368,-393.83,
799.683,-382.83,
799.997,-266.83,
800.312,-287.83,
800.626,-327.83,
800.941,60.17,
801.255,-127.83,
0.802,-89.83,
801.884,-285.83,
802.199,-191.83,
802.513,516.17,
802.827,-343.83,
803.141,-301.83,
803.456,-288.83,
0.804,-224.83,
804.084,-418.83,
804.398,-181.83,
804.712,-171.83,
805.026,-336.83,
0.805,-250.83,
805.653,-41.83,
805.967,-360.83,
806.281,-60.83,
806.595,-76.83,
806.908,16.17,
807.222,-403.83,
807.535,-105.83,
807.849,-102.83,
808.162,-108.83,
808.476,-283.83,
808.789,30.17,
809.102,-246.83,
809.416,-384.83,
809.729,111.17,
810.042,495.17,
810.355,-214.83,
810.668,-61.83,
810.981,-184.83,
811.294,-183.83,
811.607,-155.83,
0.812,-130.83,
812.233,-105.83,
812.546,-125.83,
812.858,-468.83,
813.171,-61.83,
813.484,-333.83,
813.796,-246.83,
814.109,-71.83,
814.421,-304.83,
814.734,-92.83,
815.046,-277.83,
815.358,-6.83,
815.671,-315.83,
815.983,-323.83,
816.295,-316.83,
816.607,-195.83,
0.817,-32.83,
817.232,-137.83,
817.544,177.17,
817.856,-298.83,
818.168,-159.83,
818.479,-225.83,
818.791,-122.83,
819.103,-124.83,
819.415,-180.83,
819.726,-329.83,
820.038,-386.83,
0.820,-355.83,
820.661,-416.83,
820.973,-414.83,
821.284,-276.83,
821.596,-59.83,
821.907,1994.17,
822.218,-51.83,
822.529,-178.83,
822.841,-351.83,
823.152,-432.83,
823.463,-82.83,
823.774,-175.83,
824.085,13.17,
824.396,37.17,
824.707,-174.83,
825.018,-145.83,
825.329,-342.83,
825.639,-53.83,
0.826,-110.83,
826.261,-3.83,
826.571,956.17,
826.882,-482.83,
827.193,-317.83,
827.503,1370.17,
827.813,-387.83,
828.124,-61.83,
828.434,-373.83,
828.744,128.17,
829.055,-52.83,
829.365,-24.83,
829.675,-316.83,
829.985,-218.83,
830.295,-200.83,
830.605,-136.83,
830.915,-137.83,
831.225,-137.83,
831.535,-415.83,
831.845,-216.83,
832.155,-188.83,
832.464,-8.83,
832.774,-296.83,
833.084,-323.83,
833.393,-309.83,
833.703,8.17,
834.012,-362.83,
834.322,-381.83,
834.631,-252.83,
0.835,-355.83,
0.835,79.17,
835.559,-125.83,
835.868,153.17,
836.177,-185.83,
836.486,62.17,
836.795,37.17,
837.104,-246.83,
837.413,-76.83,
837.722,-231.83,
838.031,11.17,
0.838,-213.83,
838.648,-203.83,
838.957,-100.83,
839.266,-172.83,
839.574,-14.83,
839.883,-278.83,
840.191,-165.83,
0.841,-309.83,
840.808,-274.83,
841.117,-31.83,
841.425,-356.83,
841.733,-87.83,
842.041,-74.83,
0.842,-216.83,
842.658,-38.83,
842.966,-205.83,
843.274,-130.83,
843.582,-217.83,
0.844,-496.83,
844.198,-246.83,
844.505,145.17,
844.813,56.17,
845.121,-121.83,
845.429,-283.83,
845.736,-461.83,
846.044,28.17,
846.351,-176.83,
846.659,-271.83,
846.966,-165.83,
847.274,-169.83,
847.581,-323.83,
847.888,-140.83,
848.196,-61.83,
848.503,-381.83,
0.849,-278.83,
849.117,-323.83,
849.424,-163.83,
849.731,-152.83,
850.038,779.17,
850.345,-108.83,
850.652,-241.83,
850.959,-158.83,
851.265,44.17,
851.572,-60.83,
851.879,-422.83,
852.185,-269.83,
852.492,-265.83,
852.798,-16.83,
853.105,-413.83,
853.411,-257.83,
853.718,-222.83,
854.024,11.17,
0.854,-246.83,
854.636,-226.83,
854.943,-337.83,
855.249,-164.83,
855.555,-188.83,
855.861,-189.83,
856.167,-319.83,
856.473,2.17,
856.779,-162.83,
857.084,-167.83,
0.857,15.17,
857.696,-105.83,
858.002,-28.83,
858.307,-391.83,
858.613,-227.83,
858.918,-97.83,
859.224,-213.83,
859.529,-47.83,
859.835,-170.83,
0.860,165.17,
860.445,-21.83,
0.861,-30.83,
861.056,-124.83,
861.361,-118.83,
861.666,-309.83,
861.971,-222.83,
862.276,-85.83,
862.581,28.17,
862.886,-225.83,
0.863,34.17,
863.495,-293.83,
0.864,-37.83,
864.105,-116.83,
864.409,-118.83,
864.714,-292.83,
865.018,-166.83,
865.323,-345.83,
865.627,-342.83,
865.932,-227.83,
866.236,-77.83,
0.867,-194.83,
866.845,-201.83,
867.149,-98.83,
867.453,-68.83,
867.757,-459.83,
868.061,-165.83,
868.365,-360.83,
868.669,-350.83,
868.973,-234.83,
869.277,-163.83,
869.581,119.17,
869.884,-344.83,
870.188,-42.83,
870.492,147.17,
870.795,-192.83,
871.099,-155.83,
871.402,-429.83,
871.706,-127.83,
872.009,-80.83,
872.313,-206.83,
872.616,-197.83,
872.919,-175.83,
873.222,-355.83,
873.526,-128.83,
873.829,-77.83,
874.132,-95.83,
874.435,-139.83,
874.738,-293.83,
875.041,-176.83,
875.344,-238.83,
875.646,-132.83,
875.949,-123.83,
876.252,-351.83,
876.554,-141.83,
876.857,-448.83,
0.877,129.17,
877.462,-99.83,
877.765,84.17,
878.067,-298.83,
878.369,93.17,
878.672,-10.83,
878.974,42.17,
879.276,-213.83,
879.578,-195.83,
0.880,-6.83,
880.182,-326.83,
880.484,-207.83,
880.786,-37.83,
881.088,-191.83,
0.881,-150.83,
881.692,-44.83,
881.994,-78.83,
882.296,-125.83,
882.597,-378.83,
882.899,-123.83,
0.883,-112.83,
883.502,-36.83,
883.803,-174.83,
884.105,766.17,
884.406,-154.83,
884.707,-146.83,
885.009,-343.83,
0.885,-354.83,
885.611,-205.83,
885.912,-110.83,
886.213,-68.83,
886.514,-409.83,
886.815,1053.17,
887.116,-17.83,
887.417,-107.83,
887.718,238.17,
888.019,10.17,
888.319,-2.83,
0.889,-105.83,
888.921,-302.83,
889.221,-202.83,
889.522,118.17,
889.822,-302.83,
890.122,-378.83,
890.423,-267.83,
890.723,-183.83,
891.023,-377.83,
891.324,-16.83,
891.624,131.17,
891.924,-120.83,
892.224,-206.83,
892.524,-67.83,
892.824,-180.83,
893.124,2.17,
893.424,-19.83,
893.723,-92.83,
894.023,-183.83,
894.323,-368.83,
894.623,-155.83,
894.922,-126.83,
895.222,86.17,
895.521,-359.83,
895.821,-370.83,
0.896,-377.83,
896.419,-309.83,
896.719,-143.83,
897.018,-87.83,
897.317,76.17,
897.616,3.17,
897.915,-47.83,
898.215,-164.83,
898.514,196.17,
898.812,-145.83,
899.111,361.17,
0.899,-145.83,
899.709,692.17,
900.008,-88.83,
900.306,-307.83,
900.605,-110.83,
900.904,-195.83,
901.202,-332.83,
901.501,-34.83,
901.799,-206.83,
902.098,-190.83,
902.396,-182.83,
902.694,4.17,
902.992,-35.83,
903.291,-127.83,
903.589,-47.83,
903.887,-218.83,
904.185,161.17,
904.483,37.17,
