lambda (nm),counts,
300.609,-295.83,
300.981,-187.83,
301.353,-283.83,
301.725,-411.83,
302.097,-257.83,
302.468,-360.83,
0.303,-376.83,
303.212,-146.83,
303.584,-467.83,
303.955,-271.83,
304.327,-407.83,
304.698,-483.83,
0.305,-354.83,
305.442,-483.83,
305.813,-145.83,
306.184,-87.83,
306.556,591.17,
306.927,-518.83,
307.299,-435.83,
0.308,-479.83,
308.041,-349.83,
308.413,-375.83,
308.784,-343.83,
309.155,-412.83,
309.526,-313.83,
309.897,-427.83,
310.268,-115.83,
0.311,-481.83,
311.011,-377.83,
311.382,-139.83,
311.753,-395.83,
312.123,-342.83,
312.494,-188.83,
312.865,-463.83,
313.236,-530.83,
313.607,-378.83,
313.978,-517.83,
314.348,-341.83,
314.719,-278.83,
0.315,-360.83,
315.461,-134.83,
315.831,-210.83,
316.202,-474.83,
316.572,-407.83,
316.943,-482.83,
317.313,-108.83,
317.684,-568.83,
318.054,-603.83,
318.425,-349.83,
318.795,-449.83,
319.165,-312.83,
319.536,-135.83,
319.906,-366.83,
320.276,-471.83,
320.646,-425.83,
321.016,-384.83,
321.387,-375.83,
321.757,-290.83,
322.127,-461.83,
322.497,-454.83,
322.867,-222.83,
323.237,-563.83,
323.607,-320.83,
323.977,-281.83,
324.346,-475.83,
324.716,-447.83,
325.086,-544.83,
325.456,-377.83,
325.826,-475.83,
326.195,-236.83,
326.565,-142.83,
326.935,-321.83,
327.304,-382.83,
327.674,-410.83,
328.043,-261.83,
328.413,-401.83,
328.782,-51.83,
329.152,-244.83,
329.521,-449.83,
329.891,-554.83,
0.330,-319.83,
330.629,-516.83,
330.999,-358.83,
331.368,-407.83,
331.737,-340.83,
332.106,-362.83,
332.475,-355.83,
332.845,-238.83,
333.214,-348.83,
333.583,-475.83,
333.952,-124.83,
334.321,-470.83,
0.335,-392.83,
335.059,-241.83,
335.427,-371.83,
335.796,-437.83,
336.165,-633.83,
336.534,-582.83,
336.903,-488.83,
337.271,-398.83,
0.338,-186.83,
338.009,-281.83,
338.377,-199.83,
338.746,-357.83,
339.114,379.17,
339.483,-140.83,
339.852,-208.83,
0.340,-377.83,
340.588,-215.83,
340.957,-326.83,
341.325,-557.83,
341.693,-220.83,
342.062,-374.83,
0.342,-429.83,
342.798,-337.83,
343.166,-300.83,
343.535,-522.83,
343.903,-327.83,
344.271,-419.83,
344.639,637.17,
345.007,-263.83,
345.375,-283.83,
345.743,-425.83,
346.111,-539.83,
346.479,-307.83,
346.847,-410.83,
347.214,-458.83,
347.582,-368.83,
0.348,-448.83,
348.318,-213.83,
348.685,-367.83,
349.053,-246.83,
349.421,-340.83,
349.788,-242.83,
350.156,-298.83,
350.523,-402.83,
350.891,-476.83,
351.258,-512.83,
351.626,-406.83,
351.993,-424.83,
0.352,-430.83,
352.728,-369.83,
353.095,-400.83,
353.462,-367.83,
0.354,-502.83,
354.197,-332.83,
354.564,-226.83,
354.931,-371.83,
355.298,-163.83,
355.665,626.17,
356.032,-522.83,
356.399,-115.83,
356.766,-380.83,
357.133,-504.83,
0.358,-439.83,
357.867,226.17,
358.234,-281.83,
0.359,-259.83,
358.967,-386.83,
359.334,-421.83,
359.701,-254.83,
360.067,-509.83,
360.434,-206.83,
360.801,-304.83,
361.167,-301.83,
361.534,-495.83,
0.362,-440.83,
362.267,-255.83,
362.633,-372.83,
362.999,-598.83,
363.366,-344.83,
363.732,-266.83,
364.098,-372.83,
364.465,-286.83,
364.831,-412.83,
365.197,-198.83,
365.563,-73.83,
365.929,-265.83,
366.295,-321.83,
366.661,-379.83,
367.027,-207.83,
367.393,-391.83,
367.759,-390.83,
368.125,340.17,
368.491,-190.83,
368.857,-373.83,
369.223,-105.83,
369.589,-225.83,
369.954,-257.83,
0.370,56.17,
370.686,-403.83,
371.051,-240.83,
371.417,-405.83,
371.782,-349.83,
372.148,-318.83,
372.513,-211.83,
372.879,-211.83,
373.244,-212.83,
0.374,-100.83,
373.975,-383.83,
374.341,-195.83,
374.706,-85.83,
375.071,-262.83,
375.436,-9.83,
375.802,-103.83,
376.167,-21.83,
376.532,-57.83,
376.897,-45.83,
377.262,-12.83,
377.627,198.17,
377.992,275.17,
378.357,176.17,
378.722,-62.83,
379.087,138.17,
379.452,277.17,
379.816,395.17,
380.181,379.17,
380.546,577.17,
380.911,681.17,
381.275,921.17,
0.382,775.17,
382.005,1207.17,
382.369,1087.17,
382.734,1811.17,
383.098,1725.17,
383.463,2191.17,
383.827,2223.17,
384.192,2561.17,
384.556,2680.17,
0.385,2840.17,
385.285,3376.17,
385.649,4290.17,
386.013,4500.17,
386.377,5152.17,
386.742,5507.17,
387.106,6207.17,
0.387,7304.17,
387.834,7655.17,
388.198,8825.17,
388.562,9312.17,
388.926,10156.17,
0.389,11594.17,
389.654,12625.17,
390.018,13496.17,
390.381,15197.17,
390.745,15881.17,
391.109,17875.17,
391.473,19006.17,
391.836,20608.17,
0.392,23235.17,
392.564,25165.17,
392.927,26730.17,
393.291,27759.17,
393.654,30290.17,
394.018,32850.17,
394.381,33874.17,
394.745,35941.17,
395.108,38905.17,
395.471,41168.17,
395.835,43103.17,
396.198,45056.17,
396.561,48548.17,
396.924,49901.17,
397.287,51321.17,
397.651,54114.17,
398.014,54859.17,
398.377,55624.17,
0.399,56603.17,
399.103,55889.17,
399.466,58954.17,
399.829,58290.17,
400.191,57276.17,
400.554,57425.17,
400.917,55650.17,
0.401,56754.17,
401.643,52083.17,
402.005,51698.17,
402.368,50394.17,
402.731,49019.17,
403.093,46261.17,
403.456,45332.17,
403.818,41144.17,
404.181,39145.17,
404.543,39470.17,
404.906,37473.17,
405.268,35623.17,
405.631,33739.17,
405.993,30454.17,
406.355,28870.17,
406.718,27113.17,
0.407,26341.17,
407.442,24485.17,
407.804,23866.17,
408.166,23290.17,
408.528,21414.17,
0.409,21754.17,
409.252,19805.17,
409.614,18052.17,
409.976,16836.17,
410.338,16300.17,
0.411,15532.17,
411.062,15316.17,
411.424,14752.17,
411.785,13478.17,
412.147,13299.17,
412.509,13381.17,
412.871,11556.17,
413.232,10816.17,
413.594,9871.17,
413.955,9514.17,
414.317,8999.17,
414.678,8043.17,
0.415,7464.17,
415.401,7020.17,
415.763,6615.17,
416.124,6236.17,
416.485,5782.17,
416.847,5198.17,
417.208,5088.17,
417.569,4342.17,
0.418,3992.17,
418.291,3774.17,
418.652,3541.17,
419.013,3408.17,
419.374,3076.17,
419.735,3720.17,
420.096,2750.17,
420.457,2516.17,
420.818,2522.17,
421.179,2240.17,
0.422,1927.17,
421.901,1700.17,
422.261,2053.17,
422.622,1688.17,
422.983,1560.17,
423.343,1820.17,
423.704,1538.17,
424.065,1472.17,
424.425,1377.17,
424.786,1394.17,
425.146,1237.17,
425.506,957.17,
425.867,1086.17,
426.227,1002.17,
426.588,942.17,
426.948,1122.17,
427.308,926.17,
427.668,992.17,
428.028,707.17,
428.389,661.17,
428.749,681.17,
429.109,668.17,
429.469,653.17,
429.829,1256.17,
430.189,576.17,
430.549,346.17,
430.909,307.17,
431.268,304.17,
431.628,303.17,
431.988,284.17,
432.348,317.17,
432.707,540.17,
433.067,160.17,
433.427,144.17,
433.786,240.17,
434.146,215.17,
434.506,332.17,
434.865,-154.83,
435.224,-4.83,
435.584,86.17,
435.943,207.17,
436.303,110.17,
436.662,-144.83,
437.021,173.17,
0.437,231.17,
0.438,-7.83,
438.099,-81.83,
438.458,-167.83,
438.817,-166.83,
439.176,-82.83,
439.535,-102.83,
439.894,252.17,
440.253,-350.83,
440.612,-175.83,
440.971,-76.83,
0.441,30.17,
441.689,-183.83,
442.047,-205.83,
442.406,-3.83,
442.765,-229.83,
443.124,-57.83,
443.482,-318.83,
443.841,-354.83,
444.199,26.17,
444.558,-227.83,
444.916,229.17,
445.275,-150.83,
445.633,-240.83,
445.992,-78.83,
0.446,-128.83,
446.708,-336.83,
447.066,-260.83,
447.425,-394.83,
447.783,-378.83,
448.141,-256.83,
448.499,-360.83,
448.857,-147.83,
449.215,-125.83,
449.573,-278.83,
449.931,13.17,
450.289,-87.83,
450.647,-49.83,
451.005,-379.83,
451.363,-391.83,
451.721,-218.83,
452.078,-277.83,
452.436,-346.83,
452.794,529.17,
453.152,-272.83,
453.509,-116.83,
453.867,-393.83,
454.224,-190.83,
454.582,-221.83,
454.939,-419.83,
455.297,-222.83,
455.654,-275.83,
456.011,-440.83,
456.369,-356.83,
456.726,-508.83,
457.083,-513.83,
457.441,-164.83,
457.798,-317.83,
458.155,-85.83,
458.512,-241.83,
458.869,-49.83,
459.226,-165.83,
459.583,159.17,
0.460,-374.83,
460.297,-304.83,
460.654,-330.83,
461.011,-284.83,
461.368,-363.83,
461.724,-329.83,
462.081,-503.83,
462.438,-153.83,
462.794,-399.83,
463.151,-310.83,
463.508,-370.83,
463.864,-507.83,
464.221,475.17,
464.577,-356.83,
464.934,-399.83,
0.465,-433.83,
465.646,-305.83,
466.003,-115.83,
466.359,-288.83,
466.715,-185.83,
467.072,-254.83,
467.428,-175.83,
467.784,-257.83,
0.468,-268.83,
468.496,-207.83,
468.852,-406.83,
469.208,-252.83,
469.564,1063.17,
0.470,-153.83,
470.276,-358.83,
470.632,-305.83,
470.988,2.17,
471.343,-397.83,
471.699,-315.83,
472.055,-338.83,
472.411,-422.83,
472.766,-372.83,
473.122,-97.83,
473.477,-287.83,
473.833,-358.83,
474.188,-377.83,
474.544,-149.83,
474.899,-286.83,
475.255,-333.83,
0.476,-365.83,
475.965,-304.83,
476.321,-402.83,
476.676,-364.83,
477.031,-405.83,
477.386,-126.83,
477.741,-384.83,
478.096,-255.83,
478.451,-476.83,
478.806,-173.83,
479.161,-226.83,
479.516,-387.83,
479.871,-412.83,
480.226,-41.83,
480.581,441.17,
480.936,-172.83,
0.481,-216.83,
481.645,-414.83,
0.482,-174.83,
482.354,209.17,
482.709,-398.83,
483.064,-480.83,
483.418,-148.83,
483.773,-319.83,
484.127,-489.83,
484.482,-553.83,
484.836,-354.83,
0.485,-226.83,
485.545,-304.83,
485.899,-411.83,
486.253,-159.83,
486.607,-166.83,
486.961,-229.83,
487.315,836.17,
0.488,-480.83,
488.024,-269.83,
488.378,-356.83,
488.732,-588.83,
489.086,-288.83,
489.439,-390.83,
489.793,-166.83,
490.147,339.17,
490.501,-175.83,
490.855,27.17,
491.208,-270.83,
491.562,-282.83,
491.916,-319.83,
492.269,-256.83,
492.623,-92.83,
492.976,-521.83,
0.493,-422.83,
493.683,-351.83,
494.037,-260.83,
0.494,-62.83,
494.743,-145.83,
495.097,-331.83,
0.495,-243.83,
495.803,-365.83,
496.156,-216.83,
496.509,-387.83,
496.862,-366.83,
497.215,-523.83,
497.569,-322.83,
497.922,-318.83,
498.274,-359.83,
498.627,-270.83,
0.499,-283.83,
499.333,-393.83,
499.686,-258.83,
500.039,-253.83,
500.391,-253.83,
500.744,-219.83,
501.097,-192.83,
501.449,-197.83,
501.802,-381.83,
502.154,-177.83,
502.507,-260.83,
502.859,-254.83,
503.212,-28.83,
503.564,526.17,
503.917,-368.83,
504.269,-415.83,
504.621,-171.83,
