lambda (nm),counts
313.978,-404.75
314.348,-368.75
314.719,-290.75
0.315,-339.75
315.461,-199.75
315.831,-174.75
316.202,-463.75
316.572,-418.75
316.943,-349.75
317.313,-135.75
317.684,-477.75
318.054,-580.75
318.425,-398.75
318.795,-423.75
319.165,-271.75
319.536,-191.75
319.906,-386.75
320.276,-444.75
320.646,-402.75
321.016,-383.75
321.387,-331.75
321.757,-256.75
322.127,-413.75
322.497,-427.75
322.867,-297.75
323.237,-548.75
323.607,-289.75
323.977,-309.75
324.346,-415.75
324.716,-422.75
325.086,-533.75
325.456,-362.75
325.826,-498.75
326.195,-206.75
326.565,-260.75
326.935,-261.75
327.304,-351.75
327.674,-392.75
328.043,-295.75
328.413,-374.75
328.782,-123.75
329.152,-246.75
329.521,-511.75
329.891,-514.75
0.330,-326.75
330.629,-473.75
330.999,-406.75
331.368,-427.75
331.737,-276.75
332.106,-324.75
332.475,-345.75
332.845,-189.75
333.214,-308.75
333.583,-462.75
333.952,-19.75
334.321,-435.75
0.335,-384.75
335.059,-237.75
335.427,-388.75
335.796,-412.75
336.165,-583.75
336.534,-466.75
336.903,-477.75
337.271,-400.75
0.338,-119.75
338.009,-356.75
338.377,-150.75
338.746,-324.75
339.114,311.25
339.483,-54.75
339.852,-303.75
0.340,-372.75
340.588,-203.75
340.957,-384.75
341.325,-453.75
341.693,-188.75
342.062,-360.75
0.342,-453.75
342.798,-359.75
343.166,-245.75
343.535,-488.75
343.903,-334.75
344.271,-359.75
344.639,556.25
345.007,-180.75
345.375,-341.75
345.743,-426.75
346.111,-440.75
346.479,-341.75
346.847,-367.75
347.214,-453.75
347.582,-363.75
0.348,-324.75
348.318,-259.75
348.685,-336.75
349.053,-264.75
349.421,-320.75
349.788,-283.75
350.156,-306.75
350.523,-394.75
350.891,-446.75
351.258,-480.75
351.626,-378.75
351.993,-441.75
0.352,-486.75
352.728,-364.75
353.095,-397.75
353.462,-358.75
0.354,-539.75
354.197,-355.75
354.564,-195.75
354.931,-398.75
355.298,-179.75
355.665,535.25
356.032,-532.75
356.399,-145.75
356.766,-325.75
357.133,-473.75
0.358,-467.75
357.867,101.25
358.234,-257.75
0.359,-312.75
358.967,-407.75
359.334,-359.75
359.701,-302.75
360.067,-482.75
360.434,-296.75
360.801,-222.75
361.167,-304.75
361.534,-509.75
0.362,-424.75
362.267,-337.75
362.633,-348.75
362.999,-575.75
363.366,-375.75
363.732,-288.75
364.098,-374.75
364.465,-396.75
364.831,-417.75
365.197,-291.75
365.563,-165.75
365.929,-265.75
366.295,-451.75
366.661,-383.75
367.027,-295.75
367.393,-426.75
367.759,-415.75
368.125,219.25
368.491,-212.75
368.857,-485.75
369.223,-207.75
369.589,-221.75
369.954,-404.75
0.370,-34.75
370.686,-491.75
371.051,-318.75
371.417,-443.75
371.782,-440.75
372.148,-393.75
372.513,-263.75
372.879,-363.75
373.244,-345.75
0.374,-278.75
373.975,-492.75
374.341,-387.75
374.706,-355.75
375.071,-529.75
375.436,-257.75
375.802,-380.75
376.167,-375.75
376.532,-349.75
376.897,-347.75
377.262,-413.75
377.627,-230.75
377.992,-191.75
378.357,-292.75
378.722,-550.75
379.087,-483.75
379.452,-432.75
379.816,-330.75
380.181,-522.75
380.546,-342.75
380.911,-376.75
381.275,-217.75
0.382,-465.75
382.005,-211.75
382.369,-398.75
382.734,-95.75
383.098,-336.75
383.463,-113.75
383.827,-324.75
384.192,-306.75
384.556,-391.75
0.385,-512.75
385.285,-419.75
385.649,-309.75
386.013,-376.75
386.377,-139.75
386.742,-408.75
387.106,-356.75
0.387,-369.75
387.834,-464.75
388.198,-228.75
388.562,-476.75
388.926,-351.75
0.389,-358.75
389.654,-463.75
390.018,-365.75
390.381,-397.75
390.745,-429.75
391.109,-447.75
391.473,-393.75
391.836,-462.75
0.392,-112.75
392.564,-364.75
392.927,-122.75
393.291,-513.75
393.654,-434.75
394.018,-203.75
394.381,-339.75
394.745,-369.75
395.108,-352.75
395.471,-387.75
395.835,-113.75
396.198,-441.75
396.561,44.25
396.924,-384.75
397.287,-481.75
397.651,-388.75
398.014,-78.75
398.377,-231.75
0.399,-358.75
399.103,-190.75
399.466,1382.25
399.829,-300.75
400.191,-289.75
400.554,-240.75
400.917,-138.75
0.401,612.25
401.643,-285.75
402.005,-482.75
402.368,-379.75
402.731,-379.75
403.093,-208.75
403.456,-222.75
403.818,-363.75
404.181,-543.75
404.543,-212.75
404.906,-91.75
405.268,-414.75
405.631,-479.75
405.993,-179.75
406.355,-311.75
406.718,-260.75
0.407,-403.75
407.442,-429.75
407.804,-317.75
408.166,-133.75
408.528,-162.75
0.409,588.25
409.252,-218.75
409.614,-366.75
409.976,-409.75
410.338,-320.75
0.411,-313.75
411.062,-349.75
411.424,-317.75
411.785,-423.75
412.147,-495.75
412.509,758.25
412.871,-146.75
413.232,-159.75
413.594,-455.75
413.955,-287.75
414.317,-379.75
414.678,-127.75
0.415,-398.75
415.401,-276.75
415.763,-374.75
