Ia (mA),±,Va (V)
0.01,0.03,0.50
0.03,0.03,1.00
0.04,0.03,1.50
0.06,0.03,2.00
0.07,0.03,2.50
0.09,0.03,3.00
0.11,0.03,3.50
0.12,0.03,4.00
0.15,0.03,4.50
0.17,0.03,5.00
0.19,0.03,5.50
0.21,0.03,6.00
0.24,0.03,6.50
0.27,0.03,7.00
0.29,0.03,7.50
0.32,0.03,8.00
0.35,0.03,8.50
0.38,0.03,9.00
0.41,0.03,9.50
0.44,0.04,10.00
0.47,0.04,10.50
0.50,0.04,11.00
0.53,0.04,11.50
0.56,0.04,12.00
0.59,0.04,12.50
0.62,0.04,13.00
0.65,0.04,13.50
0.68,0.04,14.00
0.71,0.04,14.50
0.74,0.04,15.00
0.77,0.04,15.50
0.80,0.04,16.00
0.84,0.04,16.50
0.87,0.04,17.00
0.91,0.04,17.50
0.94,0.04,18.00
0.98,0.04,18.50
1.02,0.04,19.00
1.06,0.04,19.50
1.10,0.04,20.00
1.19,0.04,21.00
1.27,0.05,22.00
1.35,0.05,23.00
1.44,0.05,24.00
1.53,0.05,25.00
1.61,0.05,26.00
1.70,0.05,27.00
1.78,0.05,28.00
1.86,0.05,29.00
1.94,0.05,30.00
2.01,0.05,31.00
2.08,0.05,32.00
2.15,0.06,33.00
2.22,0.06,34.00
2.29,0.06,35.00
2.35,0.06,36.00
2.42,0.06,37.00
2.48,0.06,38.00
2.54,0.06,39.00
2.71,0.06,40.00
